address,lat,long,zip
0 AUTO CIRCLE OVER PASS OF FREEWAY ,32.7655922,-117.1536403,0
0 AUTUMN GOLD WAY,32.9651722,-117.1813452,92130
0 AVA STREET,32.6923537,-117.0690122,92114
0 AVENA PLACE,33.0166835,-117.0767329,92128
0 AVENIDA ABEJA ,33.0046864,-117.0947404,92127
0 AVENIDA ALCACHOFA ,32.9988711,-117.0685878,92128
0 AVENIDA DE LAS TIENDAS ,32.7695523,-117.1652319,92108
0 AVENIDA DE LAS VISTAS ,32.5822973,-117.0092733,92154
0 AVENIDA DEL MEXICO ,32.5831928,-117.0893267,92154
0 AVENIDA DEL RIO ,32.7682048,-117.1636584,92108
0 AVENIDA VENUSTO ,33.0018569,-117.0749418,92128
0 AVENUE SAN DIEGO ,0,0,0
0 AVERIL ROAD,32.5558188,-117.054374,92173
0 AVIARY DRIVE,32.9035872,-117.1008916,92131
0 AVNDA ABEJA ,33.0046864,-117.0947404,92127
0 AVNDA DE LA FUENTE SUR ,32.5563263,-116.9579163,92154
0 AVNDA DE LA PLAYA ,32.8537789,-117.2542634,92037
0 AVNDA DE LAS VISTAS ,32.5822973,-117.0092733,92154
0 AVNDA DE PORTUGAL ,32.7225857,-117.2324656,92106
0 AVNDA DEL GATO ,32.925308,-117.14817,92126
0 AVNDA DEL RIO ,32.7682048,-117.1636584,92108
0 AVNDA VENUSTO ,33.0018569,-117.0749418,92128
0 Aero Drive only lane Off-Ramp from I-15 NB ,32.9496519,-117.1047374,0
0 Aldelade AVENUE,32.7576011,-117.0700768,92115
0 Avenida Del Rio ,32.7682048,-117.1636584,92108
0 B STREET,32.7171678,-117.1751032,92132
0 BACHMAN PLACE,32.7569014,-117.1645775,0
0 BACON ,32.7503017697462,-117.248046712311,0
0 BACON STREET,32.7502248,-117.248171,92107
0 BAHIA HOTEL PARKING LOT ,32.7721464,-117.2469192,7803
0 BALBOA AVENUE,32.8202267,-117.1757545,0
0 BALBOA COURT,32.7624974,-117.2509102,92109
0 BALBOA OFF RAMP,32.8202267,-117.1757545,0
0 BALBOA ROAD,32.7328428,-117.1581159,0
0 BALTIC STREET,32.8057382,-117.1590844,92111
0 BANCROFT STREET,32.7385313,-117.1240639,0
0 BANDINI STREET,32.7468474,-117.1886198,0
0 BANDY CANYON ROAD,33.0766382,-116.9831649,0
0 BANK OF AMERICA PARKING LOT 3619 MIDWAY DRIVE,32.7529133,-117.216948,5252
0 BANNOCK AVENUE,32.8329124,-117.1948625,92117
0 BARNES CANYON ROAD,32.8997562,-117.1978117,92121
0 BARNETT AVENUE,32.74432,-117.2020135,0
0 BATISTA STREET,32.8148118,-117.1637326,92111
0 BAYARD STREET,32.799763,-117.254517,92109
0 BAYVIEW HEIGHTS DRIVE,32.7242241,-117.0776584,92105
0 BEARDSLEY STREET,32.7019676,-117.1466155,92113
0 BECKY PLACE,32.7280469,-117.1142511,92104
0 BEECH STREET,32.7209271,-117.1596455,92101
0 BERGER AVENUE,32.8038922,-117.1522157,92123
0 BERMUDA AVENUE,32.7351245,-117.2508619,92107
0 BERNARDO CENTER DRIVE,33.0108171,-117.0858117,0
0 BERNARDO HEIGHTS PARKWAY,33.0049921,-117.0707828,0
0 BERNARDO OAKS DRIVE,33.020023,-117.0647823,92128
0 BERTING STREET,32.7584917,-117.078522,92115
0 BERYL STREET,32.8064953,-117.2420339,92109
0 BEST WESTERN HOTEL PARKING LOT ,0,0,0
0 BETHUNE COURT,32.721428,-117.0748957,92114
0 BETTYHILL DRIVE,32.8224267,-117.1657509,92117
0 BEYER BOULEVARD,32.5715283,-117.0648512,0
0 BEYER WAY,32.5838324,-117.0619883,0
0 BICYCLE PATH TWO ,0,0,0
0 BIKE PATH,0,0,0
0 BILLMAN STREET,32.7478599,-117.0588339,92115
0 BING CROSBY BOULEVARD,33.0263449,-117.1582848,92127
0 BIRCH STREET,32.6879717,-117.1129782,92113
0 BIRCHWOOD STREET,32.7944727,-117.0776779,92120
0 BIRD ROCK AVENUE,32.8157431,-117.2699876,92037
0 BISBY LAKE AVENUE,32.8032625,-117.0136733,92119
